id,nombre,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,universidad_calle_numero,universidad_colonia,universidad_cp,gmaps_longitud,gmaps_latitud,,
2730,Instituto de Administración Pública del Estado de Baja California,2,Baja California,2,Mexicali,1,Mexicali,Av. de la Patria 868 letra G,Centro Cívico,21100,-115.47558,32.64118,,
1266,Benemérita Escuela Normal  Educadora Rosaura Zapata,2,Baja California,2,Mexicali,1,Mexicali,Av. Fernando Montes de Oca 399 ,Col. Primero de Diciembre,21260,-115.44245,32.6479,,
2753,"Instituto Peninsular de Estudios Superiores, S.C.",2,Baja California,2,Mexicali,1,Mexicali,Blvd. Adolfo López Mateos 115,Col. Zacatecas,21040,-115.47558,32.64118,,
2881,"Universidad Vizcaya de las Américas, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Blvd. Justo Sierra 165,Col. Cuauhtémoc Nte.,21200,-115.47558,32.64118,,
2426,"Escuela Superior de Comercio Exterior, A.C.,  Plantel Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Blvd. López Mateos 1622 ,Col. Zacatecas,21090,-115.4619,32.63161,,
2879,Universidad Politécnica de Baja California (UPBC),2,Baja California,2,Mexicali,1,Mexicali,Claridad s/n,Col. Plutarco Elías Calles,21376,-115.47558,32.64118,,
2875,"Universidad Nacional de Estudios Avanzados, Campus Cuauhtémoc",2,Baja California,2,Mexicali,1,Mexicali,Calz. Cuauhtémoc 336,Col. Aviación,21230,-115.47558,32.64118,,
1297,Universidad Estatal de Estudios Pedagógicos,2,Baja California,2,Mexicali,1,Mexicali,Av. Fresnillo y Cañitas 310 ,Col. Zacatecas,21070,-115.46542,32.62987,,
2729,Instituto Bancario y Comercial,2,Baja California,2,Mexicali,1,Mexicali,Francisco Javier Mina 1616,,,-115.47558,32.64118,,
1292,Universidad de Educación Abierta y a Distancia,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Lázaro Cárdenas 1651-14,Col. Hidalgo,21389,-115.46549,32.62411,,
2831,"Universidad Autónoma  de Durango, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Benito Juárez 1798,Col. Reforma,21280,-115.47558,32.64118,,
488,"Universidad Autónoma de Baja California, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Blvd. Benito Juárez s/n ,Maestros Federales,21280,-115.4444,32.63226,,
2816,Universidad Autónoma de Baja California (UABC),2,Baja California,2,Mexicali,1,Mexicali,Av. Álvaro Obregón s/n,Col. Nueva,21100,-115.47558,32.64118,,
1300,"Universidad del Valle de México, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Novena Central 294,Col. Plutarco Elías Calles,21396,0,0,,
2810,Instituto Tecnológico de Mexicali,2,Baja California,2,Mexicali,1,Mexicali,Av. Instituto Tecnológico s/n,Col. Plutarco Elías Calles,21376,-115.47558,32.64118,,
1240,"Universidad Nacional de Estudios Avanzados, Campus Oriente",2,Baja California,2,Mexicali,1,Mexicali,Calz. Manuel Gómez Morín 2000,Col. Rancho La Bodega,21379,0.05905,0.00393,,
1272,"Universidad Xochicalco, Campus Mexicali",2,Baja California,2,Mexicali,1,Mexicali,Novena 1199,Col. Plutarco Elías Calles,21376,0,0,,
2424,Centro de Estudios Superiores de la Frontera ,2,Baja California,2,Mexicali,1,Mexicali,Blvd. Delta s/n,Ejido Nuevo León,21705,0,0,,
2751,Instituto de Bellas Artes del Estado de Baja California,2,Baja California,2,Mexicali,1,Mexicali,Av. Obregón esq. Pedro F. Pérez y Ramírez s/n,Centro,21100,-115.47558,32.64118,,
1233,"Universidad Autónoma de Baja California, Campus Tijuana Unidad Tecate",2,Baja California,3,Tecate,1,Tecate,Calz. Universidad 1,Fracc. San Fernando,21430,-116.62681,32.56819,,
1341,"Universidad Autónoma de Baja California, Unidad Valle de las Palmas",2,Baja California,3,Tecate,1,Tecate,Blvd. Universitario 1000,Valle San Pedro,22263,0,0,,
1221,"Universidad Nacional de Estudios Avanzados,  Campus La Mesa",2,Baja California,4,Tijuana,1,Tijuana,Blvd. Federico Benítez 319,Fracc. Los Españoles,22430,-116.95206,32.49603,,
2887,"University of Advanced Technologies (UNIAT), Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Blvd. Díaz Ordaz 12415,Fracc. El Paraíso,22106,-117.01891,32.53246,,
2416,Escuela de Enfermería Tijuana,2,Baja California,4,Tijuana,1,Tijuana,"Paseo Playas 1501, Secc. Jardines",Fracc. Playas de Tijuana,22205,-116.9268,32.47609,,
1194,"Universidad Autónoma de Baja California, Unidad Otay",2,Baja California,4,Tijuana,1,Tijuana,Calz. Universidad 14418,Parque Industrial Internacional Tijuana,22390,-116.96536,32.53162,,
2829,"Universidad Autónoma de Baja California, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Calz. Universidad 14418,Col. Parque Industrial,22427,-117.01891,32.53246,,
1296,"Universidad del Desarrollo Profesional (UNIDEP), Plantel Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Blvd. Manuel J. Cloutier 19410,Col. del Lago Sur,22217,0,0,,
1222,"Universidad Nacional de Estudios Avanzados, Campus  Florido",2,Baja California,4,Tijuana,1,Tijuana,Blvd. El Refugio 24915,Col. Fideicomiso El Florido,22245,0,0,,
99,"El Colegio de la Frontera Norte, A.C. ",2,Baja California,4,Tijuana,1,Tijuana,Carr. Escénica Tijuana-Ensenada Km 18.5,Col. San Antonio del Mar,22560,-117.11095,32.45554,,
93,Universidad de las Californias  (UDC),2,Baja California,4,Tijuana,1,Tijuana,Blvd. Federico Benítez 460,Fracc. Los Españoles,22430,0,0,,
1295,Universidad del Desarrollo Profesional (UNIDEP) Plantel Tijuana 1,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Gustavo Díaz Ordaz 15260,Col. Bentón,21115,0,0,,
1355,Colegio Mentor Mexicano,2,Baja California,4,Tijuana,1,Tijuana,Brasil 530,Col. Cacho,22150,0,0,,
1697,"Centro de Investigación y Desarrollo de Tecnología Digital, Unidad Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Av. Instituto Politécnico Nacional 1310,Col. Nueva Tijuana,22435,-116.94292,32.53886,,
1190,"Centro de Enseñanza Técnica y Superior, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Av. Cetys Universidad 4,Fracc. El Lago,22210,-116.92409,32.5072,,
2422,Educación Superior del Pacífico Escuela de Negocios,2,Baja California,4,Tijuana,1,Tijuana,Paseo del Centenario 9211,Zona del Río,22010,0,0,,
2427,"Escuela Superior de Comercio Exterior, A.C.,  Plantel Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Blvd. Aeropuerto y Calle Interamericana 1009,Mesa Otay,22457,0,0,,
1235,Universidad Xochicalco Campus Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Rampa Yumalinda 4850,Fracc. Chapultepec Alamar,22110,-116.95863,32.51305,,
1193,"Tecnológico de Baja California, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Blvd. el refugio 5 Altos ,Col. El Florido primera sección,22237,-116.96468,32.50553,,
2697,"Escuela de Trabajo Social, Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Calz. Guadalupe 6,Fracc. La Villa,22000,-117.01891,32.53246,,
1345,Instituto Tecnológico de Tijuana ,2,Baja California,4,Tijuana,1,Tijuana,Calz. Tecnológico s/n,Fracc. Tomás Aquino,22414,-116.98761,32.52959,,
1270,Centro de Estudios Superiores de la Frontera ,2,Baja California,4,Tijuana,1,Tijuana,Blvd. O´Higgins 6050,Zona Río 3a. etapa,22110,-116.94667,32.50037,,
1488,"Universidad Humanitas, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,Paseo del Cucapah 16301,Fracc. Lago Sur,22210,0,0,,
1192,Escuela Superior de Artes Visuales,2,Baja California,4,Tijuana,1,Tijuana,"Paseo Pedregal 350, Secc. Terrazas de Mendoza",Fracc. Playas de Tijuana,22226,-117.1173,32.52967,,
115,Universidad Iberoamericana (UIA) Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Av. Centro Universitario 2501,Fracc. Playas de Tijuana,22200,-117.10043,32.51888,,
1223,Centro de Estudios Superiores del Noroeste,2,Baja California,4,Tijuana,1,Tijuana,Blvd.. Cucapah Sur 20100,Fracc. El Lago,20100,-116.92907,32.50016,,
1346,Escuela Normal Fronteriza de Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Valles s/n,Zona Río 3a. Etapa,22226,-116.92848,32.4814,,
1339,Centro de Investigación para el Desarrollo Humano (CIDH),2,Baja California,4,Tijuana,1,Tijuana,Av. Paseo Playas de Tijuana 501,Secc. Jardines,22240,-117.11828,32.52707,,
1191,Universidad CIES,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Federico Benitez 5,Fracc. Los Españoles,22104,0,0,,
2841,"Universidad Autónoma de Durango, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,El Pedregal Oeste,,22104,-117.01891,32.53246,,
1353,"Centro de Educación Continua CEC, Unidad Tijuana ",2,Baja California,4,Tijuana,1,Tijuana,Av. Instituto Politécnico Nacional 1310,Col. Mesa de Otay,22510,-116.94294,32.53886,,
1290,Universidad Pedagógica Nacional (UPN) U-022 Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Paseo de la vida s/n ,"Fracc. Bosque de las Araucarias, Mesa de Otay",22510,-116.95101,32.52666,,
1234,Universidad de Tijuana (CUT) Campus Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Av. J. Lucrecia Torriz 1010,Col. Altamira,22120,-117.05259,32.5327,,
83,Universidad Tecnológica de Tijuana (UTT),2,Baja California,4,Tijuana,1,Tijuana,Carr. Libre Tijuana-Tecate Km. 10,Fracc. El Refugio Quintas Campestre,22253,0,0,,
121,"Universidad Nacional de Estudios Avanzados, Campus Pedregal",2,Baja California,4,Tijuana,1,Tijuana,Blvd. Federico Benitez 14620,Col. El Pedregal,22104,0,0,,
2771,"Instituto Tecnológico de la Construcción, Campus Tijuana",2,Baja California,4,Tijuana,1,Tijuana,"Alfredo Ramos 0611, local 1 y 2",Zona Río,22320,-117.01891,32.53246,,
1347,Escuela de Danza Gloria Campobello,2,Baja California,4,Tijuana,1,Tijuana,Blvd. Fundadores 2589,Col. Juárez,22040,-117.03072,32.51249,,
2874,"Universidad Nacional de Estudios Avanzados, Campus 20 de Noviembre",2,Baja California,4,Tijuana,1,Tijuana,Av. Baños de Agua Caliente 3360,Col. 20 de Noviembre,22100,-117.01891,32.53246,,
2726,Escuela Superior de Educación Física de Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Bahía San Miguelito,Col. El Mirador,22230,-117.01891,32.53246,,
1299,Universidad Interamericana para el Desarrollo (UNID) Sede Tijuana,2,Baja California,4,Tijuana,1,Tijuana,Rampa Aeropuerto 16002,"Col. Parque Industrial Internacional, Mesa de Otay",22424,0,0,,
1337,Culinary Art School ,2,Baja California,4,Tijuana,1,Tijuana,Paseo del Rio 7126,3a. etapa Zona Río,22224,-116.92707,32.48023,,
2752,"Instituto para el Desarrollo y Actualización de Profesionales, S.C., Tijuana",2,Baja California,4,Tijuana,1,Tijuana,"Calle 9, núm. 8110",Centro,22000,-117.01891,32.53246,,
1232,"Universidad Autónoma de Baja California, Unidad Rosarito",2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito,Av. Universidad Mz. 66,Fracc. Lomas del Coronado,22700,0,0,,
1231,Universidad Rosaritense,2,Baja California,5,Playas de Rosarito,1,Playas de Rosarito,Paseo de las Flores 100,"Fracc. Vista Hermosa, Col. Constitución",22710,-117.05029,32.36163,,
2930,Instituto Tecnológico Superior de Mulegé,3,Baja California Sur,2,Mulegé,1,Santa Rosalía,Loma Los Frailes s/n,Centro,23920,-112.26827,27.33687,,
2431,Escuela Normal Superior del Estado de Baja California Sur,3,Baja California Sur,3,La Paz,1,La Paz,Sierra las Vírgenes y Sierra San Javier,"Col. 8 de octubre, 2a. secc.",23080,-110.3158,24.11101,,
1026,Universidad de Tijuana (CUT) Campus La Paz,3,Baja California Sur,3,La Paz,1,La Paz,Forjadores ,Col. El Mezquitito,23080,0,0,,
1302,"Universidad del Desarrollo Profesional , Plantel La Paz",3,Baja California Sur,3,La Paz,1,La Paz,5 de mayo 1235 ,Centro,23000,-110.30296,24.15526,,
1028,Universidad Internacional de La Paz,3,Baja California Sur,3,La Paz,1,La Paz,Carr. al Norte Km 11 Chametla-El Centenario,Ejido Chametla,23201,-110.34307,24.12925,,
2429,Benemérita Escuela Normal Urbana Profr. Domingo Carballo Félix,3,Baja California Sur,3,La Paz,1,La Paz,Av. Gral. Félix Ortega Aguilar,Centro,23000,-110.3107,24.14717,,
2902,Instituto de Administración Pública del Estado de Baja California Sur,3,Baja California Sur,3,La Paz,1,La Paz,Legazpi 1595 esq. Durango,Col. Los Olivos,23040,-110.31083,24.14222,,
2907,"Instituto Tercnológico de la Construcción, Campus Baja California Sur",3,Baja California Sur,3,La Paz,1,La Paz,Melitón Alvañez esq. Del Pirata ,Fracc. Benito Juárez,23090,-110.31083,24.14222,,
1030,Instituto Tecnológico de La Paz,3,Baja California Sur,3,La Paz,1,La Paz,Blvd. Forjadores de Baja California Sur 4720,"Col. 8 de Octubre, 2a. sección",23080,-110.30788,24.1195,,
2928,Instituto Tecnológico Superior de Ciudad Constitución (ITSCC),3,Baja California Sur,3,La Paz,1,La Paz,Marcelo Rubio Ruiz s/n esq. Márquez de León y Pablo L. Martínez,"Col. Cuatro de Marzo, Ciudad de Constitución",23641,-110.31083,24.14222,,
