comp_cine_id,comp_cine_nombre,comp_cine_npantallas,estado_id,nom_ent,municipio_id,nom_mun,localidad_id,nom_loc,comp_cine_calle_numero,comp_cine_colonia,comp_cine_cp,gmaps_longitud,gmaps_latitud
655,Cinépolis Antea Querétaro,11,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Carr. Querétaro a San Luis Potosí 12401,Col. El Salitre,76127,-100.43681,20.67502
896,Cinépolis Peñaflor,5,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,"Plaza Atria Ciudad del Sol, Blvd. Peña Flor 123",,,-100.48047,20.6474
825,Cinemex Urban Center Jurica,7,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Av. 5 de Febrero s/n,Col. Zona Industrial Benito Juárez,76100,-100.43305,20.64915
824,Cinemex Constituyentes,10,22,Querétaro,14,Querétaro,1,Santiago de Querétaro,Carr. Libre a Celaya Km. 3.8 s/n,"Corregidora de Querétaro, Ejidos Los Olvera",76000,-100.42378,20.55011
826,Cinépolis Juriquilla Uptown,8,22,Querétaro,14,Querétaro,58,Juriquilla,Anillo Vial II Fray Junipero Serra,Col. El Salitre,76127,-100.4307,20.67568
677,Henry Cinemas San Juan del Río,9,22,Querétaro,16,San Juan del Río,1,San Juan del Río,Av. Moctezuma s/n esq. Mercedes Camacho,Col. San Cayetano,76806,-99.96918,20.39125
856,Cinépolis Paseo del Río,7,22,Querétaro,16,San Juan del Río,1,San Juan del Río,Paseo Central 183,Col. Valle de Oro,76802,-99.98491,20.39421
679,Cinemex San Juan del Río,12,22,Querétaro,16,San Juan del Río,1,San Juan del Río,Carr. Panamericana 202,Col. La Venta,76800,-100.01159,20.38823
583,Tu cine de Tequisquiapan,4,22,Querétaro,17,Tequisquiapan,1,Tequisquiapan,"Carr. Federal 120, San Juan del Río Xilitla 100",Col. Hacienda Grande,76750,-99.89932,20.52908
330,Cinépolis Cozumel,7,23,Quintana Roo,1,Cozumel,1,Cozumel,Av. Rafael E. Melgar 1001 entre calles 15 y 17 Sur,Centro,77600,-86.95856,20.50277
733,Cinemex Chetumal,8,23,Quintana Roo,4,Othón P. Blanco,1,Chetumal,Av. Erick Paolo Martínez 120,Col. Del Sol,77026,-88.29469,18.52548
328,Cinépolis las Américas Chetumal,13,23,Quintana Roo,4,Othón P. Blanco,1,Chetumal,Av. Insurgentes km 5.025 s/n,Col. Emancipación de México,77080,-88.32166,18.51888
736,Cinemex Cumbres La Roca,8,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Blvd. Cumbres esq. Blvd. Luis Donaldo Colosio Sm 310, Mz. 109",Col. Residencial Cumbres,77580,-86.83938,21.11057
862,Cinemex Los Héroes Cancún,6,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. 20 de Noviembre, mza. 1, lote 158",Col. Los Héroes Cancún,77517,-86.87494,21.1736
865,Cinépolis VIP Puerto Cancún,6,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Bonampak, Lote 10",Zona Hotelera,77500,-86.80778,21.15988
324,Cinépolis Vip Plaza las Américas,7,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Tulum Sur 260, Súper Manzana 7",,77500,-86.82435,21.1482
325,Cinépolis Puerto Cancún,10,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Bonampak Lote 10, int. 1",,77500,-86.8094,21.15945
614,Cinépolis Plaza Las Américas Cancún,14,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Tulum Sur 260, Súper Manzana 7",,77500,-86.82435,21.1482
327,Cinépolis La Gran Plaza Cancún,14,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Nichupte, Mz. 18 núm int. 1-4 ",Col. SM 51,77533,-86.8543,21.14056
864,Cinemex Multiplaza Cancún,10,23,Quintana Roo,5,Benito Juárez,1,Cancún,Av. Kabah esq. Av. de Los Tules s/n,Región Benito Juárez 248,77516,-86.86998,21.1892
599,Cinépolis Las Tiendas Cancún,5,23,Quintana Roo,5,Benito Juárez,1,Cancún,Av. Tulum 42,Col. Supermanzana 63,77513,-86.82661,21.17252
326,Cinépolis Cancún Mall,12,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Circuito Vial esq. Av. Costa Maya. Lote 1, ancla 2",,77516,-86.84916,21.1827
329,Cinemex Outlet Cancún,9,23,Quintana Roo,5,Benito Juárez,1,Cancún,"Av. Andres Quintana Roo, Super Mza. 39, MZ. 10",,77507,-86.84976,21.15062
323,Cinemex La Isla Cancún,5,23,Quintana Roo,5,Benito Juárez,1,Cancún,Blvd. Colosio s/n,Col. Villa Satelite,83200,-86.76293,21.11056
332,Cinemex Playa del Carmen,9,23,Quintana Roo,8,Solidaridad,1,Playa del Carmen,Carr. Federal Cancún-Tulum 2100,Col. Ejidal,77712,-87.09836,20.61993
331,Cinépolis Las Américas Playa del Carmen,12,23,Quintana Roo,8,Solidaridad,1,Playa del Carmen,"Paseo Central SM. 52, Mza. 1",Col. Nuevo Centro Urbano,77710,-87.08196,20.647
340,Cinemex Ciudad Valles,9,24,San Luis Potosí,13,Ciudad Valles,1,Ciudad Valles,Carr. México-Laredo 100 ,Col. Moctezuma,79040,-99.01239,21.99377
659,Cinemagic Matehuala,5,24,San Luis Potosí,20,Matehuala,1,Matehuala,Carr. a Villa de la Paz 431 local 33,Fidel Velázquez,78724,-100.65222,23.66889
491,Cinemas Las Américas I  y II,2,24,San Luis Potosí,20,Matehuala,1,Matehuala,Vicente Guerrero 206,Zona Centro,78700,-100.6411,23.64417
343,Cinépolis Plaza El Dorado,11,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Nereo Rodríguez Barragán 450,Col. del Valle,78200,-101.00358,22.15508
649,Cinépolis VIP Plaza San Luis,12,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Sierra Vista Pte. 1010,Col. Lomas del Tecnológico,78215,-101.03027,22.1268
901,Cinépolis Macro Plaza San Luis Potosí,7,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Dr. Salvador Nava Martínez esq. Vicente Rivera,Col. Nuevo Paseo,78320,-100.95708,22.1436
344,Cinépolis Plaza Sendero,14,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Benito Juárez 2005,Col. Estrella de Oriente,78396,-100.92312,22.13113
341,Cinépolis Plaza Tangamanga,5,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Manuel J. Clouthier 263,Fracc. Tangamanga,78250,-101.00146,22.1412
653,Cinemex Citadella,7,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Salvador Nava Martínez 3125,Fracc. Colinas del Parque,78110,-101.00093,22.13782
858,Cinemex Citadella Platino ,4,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Av. Salvador Nava Martínez 3125,Fracc. Colinas del Parque,78110,-101.00097,22.13788
342,Cinemex Plaza El Paseo,10,24,San Luis Potosí,28,San Luis Potosí,1,San Luis Potosí,Rutilo Torres s/n,Col. El Paseo,78320,-100.95484,22.14162
657,Cinépolis Plaza Citadina San Luis,5,24,San Luis Potosí,35,Soledad de Graciano Sánchez,1,Soledad de Graciano Sánchez,Del Pozo 229,Col. San Andrés,78434,-100.95144,22.18198
693,Cinemex Paseo Los Mochis,12,25,Sinaloa,1,Ahome,1,Los Mochis,Blvd. Centenario 805 Pte. esq. Blvd. Antonio Rosales,Col. Centro,,-108.99864,25.78661
696,Cinemex Varsovia,5,25,Sinaloa,1,Ahome,1,Los Mochis,Gabriel Leyva 700 sur,América,81200,-108.99863,25.78662
847,Cinépolis Sendero Los Mochis,8,25,Sinaloa,1,Ahome,1,Los Mochis,Clemente Valenzuela 149,Miguel Hidalgo,81210,-108.9768,25.8184
345,Cinemex Los Mochis,11,25,Sinaloa,1,Ahome,1,Los Mochis,Blvd. Jiquilpan,Col. Jardines de Fátima,,-108.9937,25.80688
658,Citicinemas La Isla,10,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Av. Cancún 1555,Musalá Isla Bonita,80060,-107.36681,24.82391
349,Cinépolis Culiacán,13,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Blvd. Culiacán 450 Pte.,Col. Recursos Hidráulicos,80100,-107.41386,24.80087
347,Cinemex Plaza Culiacán,10,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Av. Emiliano Zapata 2151,Col. El Vallado,80110,-107.42451,24.79089
772,Cinépolis Paseo San Isidro,7,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Blvd. Paseo de los Ganaderos Pte. 1787,Col. Lomas de San Isidro,80197,-107.40183,24.7561
346,Cinépolis VIP Culiacán,6,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Blvd. Culiacán 450 Pte.,Col. Recursos Hidráulicos,80100,-107.41385,24.80088
827,Cinemex Barrancos,6,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Av. Benjamin Hill 5720,Col. Infonavit Barrancos,80190,-107.42551,24.74769
780,Citicinemas Galerías San Miguel,5,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Cerro Monte Largo 1880,Colinas de San Miguel,80000,-107.39464,24.78675
779,Citicinemas La Isla Salas Premier,4,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Av. Cancún 1555,Musalá Isla Bonita,80060,-107.36681,24.82391
692,Cinemex Fórum Culiacán Platino,4,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,"Blvd. José Diego Valadez 1676, piso 2",Col. Desarrollo Urbano Tres Ríos,80000,-107.40067,24.814
348,Cinemex Fórum Culiacán,10,25,Sinaloa,6,Culiacán,1,Culiacán Rosales,Blvd. José Diego Valadez 1676,Col. Desarrollo Urbano Tres Ríos,80000,-107.40195,24.81376
351,Cinemex Guasave,6,25,Sinaloa,11,Guasave,132,Gabriel Leyva Solano (Benito Juárez),Ignacio Ramírez y Blvd. Central s/n,Col. Guasavito,,-108.466,25.56941
356,Cinemex Mazatlán,10,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. Insurgentes 1198,Col. Villa del Estereo,,-106.42047,23.2357
694,Cinemex Galerías Mazatlán,9,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. La Marina,,,-106.45064,23.28022
697,Cinépolis Santa Rosa,5,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. Luis Donaldo Colosio Murrieta 17301,Col. Valle Dorado,82132,-106.40561,23.25813
682,Cinépolis Gran Plaza Mazatlán,14,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. Reforma s/n,Col. Alameda,82123,-106.43672,23.24014
695,Cinemex Galerías Mazatlán Platino,4,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. La Marina ,,,-106.45049,23.28015
773,Cinépolis Sendero Mazatlán,10,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av. Oscar Pérez Escobosa 8201,Col. Vendadillo,82129,-106.4189,23.27199
684,Cinemas Gaviotas,6,25,Sinaloa,12,Mazatlán,1,Mazatlán,Av Camarón Sábalo 218,El Dorado,82110,-106.44731,23.24153
350,Cinemex Guamúchil,5,25,Sinaloa,15,Salvador Alvarado,1,Guamúchil,Blvd. Rosales esq. Francisco Labastida 1042 sur,,,-108.07367,25.4538
